  -0.00996,  -6.42529,  15.51909
   0.00938,  -2.39368,   4.03565
  -0.00931,  -6.29951,  -3.48218
   0.00830,   3.09021,   7.21654
  -0.00292,  -3.94837,   7.51229
  -0.00352, -11.50800,   0.24773
   0.00204, -10.00762,   6.25649
   0.00009, -20.52340,   1.71665
  -0.00260, -10.66757,  -5.16273
  -0.00916, -18.72396,  -3.57275
   0.00852,  -3.11484,   8.64577
  -0.00496,   7.90918,  13.05196
  -0.00143, -21.81652,   6.58186
  -0.00770,  10.12921,  14.57875
  -0.00276,  -7.15956,  25.22442
  -0.00348,  -0.55171,   7.27265
   0.00608, -14.30824,   5.70507
  -0.00840,  -0.68941,   8.40573
   0.00349, -12.49431,  -8.21381
   0.00731, -14.34886,   0.45176
   0.00107,  -4.29400,   9.38641
   0.00762, -27.00946,  -8.01572
   0.00683,  -6.82848,   0.41360
  -0.00117,   4.14592,   5.76201
   0.00417,   3.68102,  16.79276
   0.00837, -23.04608, -13.22882
  -0.00855,  -7.91023,  13.37354
  -0.00605,  -3.13225,  -1.60943
   0.00317,  11.73918,  13.56548
   0.00982,  -1.24591,  -0.01454
  -0.00267, -12.14927,   4.84636
  -0.00136, -18.07127, -10.94895
   0.00996,  -1.96621,  10.20174
  -0.00558,   5.20373,  13.98177
   0.00258,   5.34601,   8.91556
  -0.00054, -16.28329,  -8.08501
   0.00794,  -9.74836,  -0.59022
   0.00450,   3.16901,  10.23421
  -0.00281, -17.54782, -12.47428
  -0.00502,  10.86416,  24.70121
  -0.00524,  -1.92506,   9.30723
  -0.00260,  -2.80023,   3.18578
   0.00261, -14.37800,  22.00128
   0.00359,   4.46232,  13.15788
   0.00270,   4.93012,  23.14920
  -0.00622,  11.92877,  14.46191
  -0.00487,  -8.96610,  -5.57308
  -0.00825,  -3.37204,  -1.39405
   0.00185,  -7.33319,  -4.08070
  -0.00274, -14.73898,  -2.38306
